Question No.,Question,Prompt Type,Model Used,Top Retrieved Source,Top Retrieval Score,All Retrieved Sources,Generated Answer,Answer Word Count,Mentions Source/Citation,Detects Insufficient Context,API Error,Manual Relevance Score (1-5),Manual Correctness Score (1-5),Manual Grounding Score (1-5),"Manual Hallucination Score (1-5, lower is better)",Manual Notes / Issues
7,What is the Wage Protection System?,Original,gemini-2.5-flash-lite,Awareness Guide for New Employers Companies - EN_639011571513592816.txt,0.7365,"1. Awareness Guide for New Employers Companies - EN_639011571513592816.txt | chunk 57 | score 0.7365
2. domestic-workers-employers-guide-en_638924949072877160.txt | chunk 340 | score 0.6968
3. Awareness Guide for New Employers Companies - EN_639011571513592816.txt | chunk 54 | score 0.6332
4. Awareness Guide for New Employers Companies - EN_639011571513592816.txt | chunk 55 | score 0.6243
5. Wage Protection System (WPS).txt | chunk 1986 | score 0.5722","The Wage Protection System (WPS) ensures that employees receive their wages in full and on time. It allows employers to pay employee wages electronically through authorized banks, exchange houses, and financial institutions licensed by the Central Bank of the UAE. This system is an alternative to the end-of-service gratuity system and involves employers making monthly contributions to an investment fund. This information is found in the ""Awareness Guide for New Employers Companies"" and ""Wage Protection System (WPS).txt"".",77,Yes,No,,,,,,
7,What is the Wage Protection System?,Strict,gemini-2.5-flash-lite,Awareness Guide for New Employers Companies - EN_639011571513592816.txt,0.7365,"1. Awareness Guide for New Employers Companies - EN_639011571513592816.txt | chunk 57 | score 0.7365
2. domestic-workers-employers-guide-en_638924949072877160.txt | chunk 340 | score 0.6968
3. Awareness Guide for New Employers Companies - EN_639011571513592816.txt | chunk 54 | score 0.6332
4. Awareness Guide for New Employers Companies - EN_639011571513592816.txt | chunk 55 | score 0.6243
5. Wage Protection System (WPS).txt | chunk 1986 | score 0.5722","The Wage Protection System (WPS) ensures that employees receive their wages in full and on time. It allows employers to pay their employees’ wages electronically through banks, exchange houses, and financial institutions authorized and licensed by the Central Bank of the UAE to provide wage payment services.",47,No,No,,,,,,
7,What is the Wage Protection System?,Citational,gemini-2.5-flash-lite,Awareness Guide for New Employers Companies - EN_639011571513592816.txt,0.7365,"1. Awareness Guide for New Employers Companies - EN_639011571513592816.txt | chunk 57 | score 0.7365
2. domestic-workers-employers-guide-en_638924949072877160.txt | chunk 340 | score 0.6968
3. Awareness Guide for New Employers Companies - EN_639011571513592816.txt | chunk 54 | score 0.6332
4. Awareness Guide for New Employers Companies - EN_639011571513592816.txt | chunk 55 | score 0.6243
5. Wage Protection System (WPS).txt | chunk 1986 | score 0.5722","- Answer: The Wage Protection System (WPS) is a system that ensures employees receive their wages in full and on time. It allows employers to pay their employees' wages electronically through authorized banks, exchange houses, and financial institutions licensed by the Central Bank of the UAE.
- Evidence: Awareness Guide for New Employers Companies - EN_639011571513592816.txt, Chunk 3
- Evidence: Wage Protection System (WPS).txt, Chunk 5",66,Yes,No,,,,,,
7,What is the Wage Protection System?,Simple,gemini-2.5-flash-lite,Awareness Guide for New Employers Companies - EN_639011571513592816.txt,0.7365,"1. Awareness Guide for New Employers Companies - EN_639011571513592816.txt | chunk 57 | score 0.7365
2. domestic-workers-employers-guide-en_638924949072877160.txt | chunk 340 | score 0.6968
3. Awareness Guide for New Employers Companies - EN_639011571513592816.txt | chunk 54 | score 0.6332
4. Awareness Guide for New Employers Companies - EN_639011571513592816.txt | chunk 55 | score 0.6243
5. Wage Protection System (WPS).txt | chunk 1986 | score 0.5722","The Wage Protection System (WPS) is a way for employers to pay their employees' wages electronically. It makes sure that employees get paid in full and on time. This is done through banks, exchange houses, and other financial institutions that are allowed to provide wage payment services.",47,No,No,,,,,,
8,What are maternity leave rights in the UAE?,Original,gemini-2.5-flash-lite,Remote Work Guide in the Private Sector - EN.txt,0.7034,"1. Remote Work Guide in the Private Sector - EN.txt | chunk 1861 | score 0.7034
2. Annual leave _ The Official Platform of the UAE Government.txt | chunk 11 | score 0.6566
3. Executive Regulations Of Human Resources Law in the Federal Government.txt | chunk 618 | score 0.4396
4. Annual leave _ The Official Platform of the UAE Government.txt | chunk 19 | score 0.4182
5. Annual leave _ The Official Platform of the UAE Government.txt | chunk 9 | score 0.4128","Maternity leave in the UAE provides for 45 days of leave at full pay and 15 days at half pay. During pregnancy and maternity leave, employers are prohibited from terminating an employee's services or issuing a disciplinary warning. This information is based on the ""Remote Work Guide in the Private Sector - EN.txt"".",53,Yes,No,,,,,,
8,What are maternity leave rights in the UAE?,Strict,gemini-2.5-flash-lite,Remote Work Guide in the Private Sector - EN.txt,0.7034,"1. Remote Work Guide in the Private Sector - EN.txt | chunk 1861 | score 0.7034
2. Annual leave _ The Official Platform of the UAE Government.txt | chunk 11 | score 0.6566
3. Executive Regulations Of Human Resources Law in the Federal Government.txt | chunk 618 | score 0.4396
4. Annual leave _ The Official Platform of the UAE Government.txt | chunk 19 | score 0.4182
5. Annual leave _ The Official Platform of the UAE Government.txt | chunk 9 | score 0.4128",The retrieved context does not provide enough information to answer this question.,12,No,Yes,,,,,,
8,What are maternity leave rights in the UAE?,Citational,gemini-2.5-flash-lite,Remote Work Guide in the Private Sector - EN.txt,0.7034,"1. Remote Work Guide in the Private Sector - EN.txt | chunk 1861 | score 0.7034
2. Annual leave _ The Official Platform of the UAE Government.txt | chunk 11 | score 0.6566
3. Executive Regulations Of Human Resources Law in the Federal Government.txt | chunk 618 | score 0.4396
4. Annual leave _ The Official Platform of the UAE Government.txt | chunk 19 | score 0.4182
5. Annual leave _ The Official Platform of the UAE Government.txt | chunk 9 | score 0.4128",Evidence is insufficient.,3,Yes,Yes,,,,,,
8,What are maternity leave rights in the UAE?,Simple,gemini-2.5-flash-lite,Remote Work Guide in the Private Sector - EN.txt,0.7034,"1. Remote Work Guide in the Private Sector - EN.txt | chunk 1861 | score 0.7034
2. Annual leave _ The Official Platform of the UAE Government.txt | chunk 11 | score 0.6566
3. Executive Regulations Of Human Resources Law in the Federal Government.txt | chunk 618 | score 0.4396
4. Annual leave _ The Official Platform of the UAE Government.txt | chunk 19 | score 0.4182
5. Annual leave _ The Official Platform of the UAE Government.txt | chunk 9 | score 0.4128","In the UAE, maternity leave is paid. It includes 45 days at full pay and 15 days at half pay. Employers cannot fire or discipline an employee for being pregnant or taking maternity leave.",34,No,No,,,,,,
9,What are the rules for remote work in the UAE?,Original,gemini-2.5-flash-lite,Remote Work Guide in the Private Sector - EN.txt,0.4797,"1. Remote Work Guide in the Private Sector - EN.txt | chunk 1844 | score 0.4797
2. Work permits _ The Official Platform of the UAE Government.txt | chunk 2017 | score 0.4431
3. Federal Decree-Law No. 33 of 2021 Regarding the Regulation of Employment Relationship and its amendments_638990571068264034.txt | chunk 1151 | score 0.4314
4. Work permits _ The Official Platform of the UAE Government.txt | chunk 2031 | score 0.422
5. End of service benefits for workers in the private sector _ The Official Platform of the UAE Government.txt | chunk 393 | score 0.4198","Remote work is a flexible work arrangement that enables an employee to perform their professional duties, in whole or in part, outside the employer’s premises (Remote Work Guide in the Private Sector - EN.txt).",34,Yes,No,,,,,,
9,What are the rules for remote work in the UAE?,Strict,gemini-2.5-flash-lite,Remote Work Guide in the Private Sector - EN.txt,0.4797,"1. Remote Work Guide in the Private Sector - EN.txt | chunk 1844 | score 0.4797
2. Work permits _ The Official Platform of the UAE Government.txt | chunk 2017 | score 0.4431
3. Federal Decree-Law No. 33 of 2021 Regarding the Regulation of Employment Relationship and its amendments_638990571068264034.txt | chunk 1151 | score 0.4314
4. Work permits _ The Official Platform of the UAE Government.txt | chunk 2031 | score 0.422
5. End of service benefits for workers in the private sector _ The Official Platform of the UAE Government.txt | chunk 393 | score 0.4198","Remote Work is a flexible work arrangement that enables an employee to perform their professional duties, in whole or in part, outside the employer’s premises.",25,No,No,,,,,,
9,What are the rules for remote work in the UAE?,Citational,gemini-2.5-flash-lite,Remote Work Guide in the Private Sector - EN.txt,0.4797,"1. Remote Work Guide in the Private Sector - EN.txt | chunk 1844 | score 0.4797
2. Work permits _ The Official Platform of the UAE Government.txt | chunk 2017 | score 0.4431
3. Federal Decree-Law No. 33 of 2021 Regarding the Regulation of Employment Relationship and its amendments_638990571068264034.txt | chunk 1151 | score 0.4314
4. Work permits _ The Official Platform of the UAE Government.txt | chunk 2031 | score 0.422
5. End of service benefits for workers in the private sector _ The Official Platform of the UAE Government.txt | chunk 393 | score 0.4198",Evidence is insufficient.,3,Yes,Yes,,,,,,
9,What are the rules for remote work in the UAE?,Simple,gemini-2.5-flash-lite,Remote Work Guide in the Private Sector - EN.txt,0.4797,"1. Remote Work Guide in the Private Sector - EN.txt | chunk 1844 | score 0.4797
2. Work permits _ The Official Platform of the UAE Government.txt | chunk 2017 | score 0.4431
3. Federal Decree-Law No. 33 of 2021 Regarding the Regulation of Employment Relationship and its amendments_638990571068264034.txt | chunk 1151 | score 0.4314
4. Work permits _ The Official Platform of the UAE Government.txt | chunk 2031 | score 0.422
5. End of service benefits for workers in the private sector _ The Official Platform of the UAE Government.txt | chunk 393 | score 0.4198","Based on the provided text, remote work is a flexible work arrangement where an employee can do their job, all or part of it, from outside the employer's office. This is outlined in guidelines issued by the Ministry of Human Resources and Emiratization in the UAE.

The text also mentions that to work in the UAE, you need a work permit from the Ministry, as per the law. The specific conditions and procedures for obtaining, renewing, or canceling these permits are detailed in the Implementing Regulation. A company's trade license must also be valid and free of violations for work permits to be issued.",104,Yes,No,,,,,,
10,Can an employer reduce salary without employee consent?,Original,gemini-2.5-flash-lite,Executive Regulations Of Human Resources Law in the Federal Government.txt,0.598,"1. Executive Regulations Of Human Resources Law in the Federal Government.txt | chunk 527 | score 0.598
2. Cabinet Decision No. 106 of 2022 pertaining to the executive regulations of Federal Decree Law No. 9 of 2022.txt | chunk 129 | score 0.4159
3. Federal Decree-Law No. 33 of 2021 Regarding the Regulation of Employment Relationship and its amendments_638990571068264034.txt | chunk 1226 | score 0.3733
4. Federal Decree by Law No. (33) of 2021 Concerning Regulating Labour Relations.txt | chunk 951 | score 0.3636
5. Federal Decree by Law No. (33) of 2021 Concerning Regulating Labour Relations.txt | chunk 950 | score 0.3581",I cannot find this information in the available UAE Labour Law documents.,12,No,Yes,,,,,,
10,Can an employer reduce salary without employee consent?,Strict,gemini-2.5-flash-lite,Executive Regulations Of Human Resources Law in the Federal Government.txt,0.598,"1. Executive Regulations Of Human Resources Law in the Federal Government.txt | chunk 527 | score 0.598
2. Cabinet Decision No. 106 of 2022 pertaining to the executive regulations of Federal Decree Law No. 9 of 2022.txt | chunk 129 | score 0.4159
3. Federal Decree-Law No. 33 of 2021 Regarding the Regulation of Employment Relationship and its amendments_638990571068264034.txt | chunk 1226 | score 0.3733
4. Federal Decree by Law No. (33) of 2021 Concerning Regulating Labour Relations.txt | chunk 951 | score 0.3636
5. Federal Decree by Law No. (33) of 2021 Concerning Regulating Labour Relations.txt | chunk 950 | score 0.3581",The retrieved context does not provide enough information to answer this question.,12,No,Yes,,,,,,
10,Can an employer reduce salary without employee consent?,Citational,gemini-2.5-flash-lite,Executive Regulations Of Human Resources Law in the Federal Government.txt,0.598,"1. Executive Regulations Of Human Resources Law in the Federal Government.txt | chunk 527 | score 0.598
2. Cabinet Decision No. 106 of 2022 pertaining to the executive regulations of Federal Decree Law No. 9 of 2022.txt | chunk 129 | score 0.4159
3. Federal Decree-Law No. 33 of 2021 Regarding the Regulation of Employment Relationship and its amendments_638990571068264034.txt | chunk 1226 | score 0.3733
4. Federal Decree by Law No. (33) of 2021 Concerning Regulating Labour Relations.txt | chunk 951 | score 0.3636
5. Federal Decree by Law No. (33) of 2021 Concerning Regulating Labour Relations.txt | chunk 950 | score 0.3581","- Answer: An employer cannot reduce an employee's salary unless the employee agrees in writing.
- Evidence: Executive Regulations Of Human Resources Law in the Federal Government.txt, Chunk Index: 527",30,Yes,No,,,,,,
10,Can an employer reduce salary without employee consent?,Simple,gemini-2.5-flash-lite,Executive Regulations Of Human Resources Law in the Federal Government.txt,0.598,"1. Executive Regulations Of Human Resources Law in the Federal Government.txt | chunk 527 | score 0.598
2. Cabinet Decision No. 106 of 2022 pertaining to the executive regulations of Federal Decree Law No. 9 of 2022.txt | chunk 129 | score 0.4159
3. Federal Decree-Law No. 33 of 2021 Regarding the Regulation of Employment Relationship and its amendments_638990571068264034.txt | chunk 1226 | score 0.3733
4. Federal Decree by Law No. (33) of 2021 Concerning Regulating Labour Relations.txt | chunk 951 | score 0.3636
5. Federal Decree by Law No. (33) of 2021 Concerning Regulating Labour Relations.txt | chunk 950 | score 0.3581","Based on the provided text, an employer cannot reduce an employee's gross salary unless the employee agrees to it in writing. This is stated in Chunk 1.",27,Yes,No,,,,,,
